time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W,soc
39,21.81127476366379,24.97592063268536,5.0,805.7327981863908,0.5845496042167064,0.0,0.6686690789257806,0.12861971563740046,32.0,3.0,8.0,600.0,551.3232000844217,455.03104858905704,96.29215149536465,0.135
40,21.812449935980624,24.967644758377048,5.0,806.0621035638202,0.20658966549952973,0.0,0.4273089499269677,0.5,32.0,3.0,8.0,600.0,548.8275068618817,459.13524486773935,89.69226199414236,0.13333333333333336
41,22.339884510434672,24.949219885464515,8.556118045833273,996.0835755101854,0.27489378422184907,0.0,0.582250589156874,0.5,32.0,3.0,8.0,600.0,170.81158057839164,147.4045015099771,23.407079068414525,0.13166666666666665
42,22.73080615862665,24.98508216478035,10.829522104336036,1072.466908013916,0.2983681855340335,0.0,0.6186222862638796,0.5,32.0,3.0,8.0,600.0,258.65911471579517,199.44147891367678,59.21763580211841,0.13
43,23.10228652174243,25.051622799335803,12.07476006987821,1103.379861115854,0.30826638714976073,0.0,0.6313259563452897,0.5,32.0,3.0,8.0,600.0,288.7548801952761,217.73205568684642,71.02282450842966,0.12833333333333335
44,23.434625693704334,25.125104675668922,12.788694462117405,1115.756231538469,0.3188701580350753,0.0,0.6479491805864174,0.5,32.0,3.0,8.0,600.0,300.9971364130568,225.50839397073258,75.48874244232422,0.12666666666666668
45,23.68946413409543,25.18378836197371,13.132693622131058,1115.2131114629726,0.3361467220747717,0.0,0.6807919107645115,0.06321240934238474,32.0,3.0,8.0,600.0,315.49172829190405,233.88159453330053,81.61013375860351,0.125
46,23.9336642373558,25.22297467806459,14.56547174719526,824.0433567651633,0.3112862219769967,0.0,0.6181149910166617,0.17942875808978362,32.0,3.0,8.0,600.0,342.278624611881,247.61907908006708,94.65954553181395,0.12333333333333334
47,24.27662028037747,25.305065919814695,15.407074161565959,850.7983237737642,0.3494022883639622,0.0,0.6963385333178413,0.23581686640402372,32.0,3.0,8.0,600.0,298.7367340609868,227.88849105979207,70.84824300119475,0.12166666666666667
48,24.500531126699457,25.418615134821664,15.155257849032637,845.1439477654659,0.36889061697109193,0.0,0.7359995623205057,0.2784389597113792,32.0,3.0,8.0,600.0,359.5337640492888,258.24003958907235,101.29372446021644,0.12
49,24.61173974402425,25.53657713141905,14.536829487098373,844.103140669898,0.3736363359221818,0.0,0.7462821941378441,0.28770470000839504,32.0,3.0,8.0,600.0,393.5902050611903,273.98394164137164,119.60626341981866,0.11833333333333335
50,24.64736338472403,25.633242832466806,14.077884056526216,843.5139330014154,0.3739405699860021,0.0,0.7467775199461852,0.28801626838029815,32.0,3.0,8.0,600.0,402.5309723491127,277.8412970788832,124.68967527022947,0.11666666666666667
51,24.629782395605616,25.69276125675208,13.812483765072102,843.2744900848337,0.37501147514184696,0.0,0.7486807528981271,0.290346933582718,32.0,3.0,8.0,600.0,403.02701505770494,278.08889616903804,124.9381188886669,0.115
52,24.634328556214257,25.77654986583741,13.628762935911368,843.4248140712605,0.37587465212694904,0.0,0.750416627678689,0.2917769557606775,32.0,3.0,8.0,600.0,404.85655400966186,278.96074876507726,125.89580524458458,0.11333333333333334
53,24.66090524481092,25.88231877579335,13.5027448917578,843.3790192705842,0.3749655113028518,0.0,0.7488441998505089,0.2899155903512843,32.0,3.0,8.0,600.0,406.43736267782117,279.66382772821925,126.7735349496019,0.11166666666666668
54,24.69608850383821,25.990173010633782,13.457199650390635,843.2074767063388,0.3735151527447104,0.0,0.7461777368439885,0.28697946717652467,32.0,3.0,8.0,600.0,404.90159610834564,278.92331868228626,125.97827742605936,0.11
55,24.721516250518107,26.078641406280667,13.47150093513551,842.9897086909656,0.37432610199942135,0.0,0.7476388555283356,0.2880204390868995,32.0,3.0,8.0,600.0,402.38000753268625,277.7426834634947,124.63732406919158,0.10833333333333334
56,24.714767029338304,26.13213375076799,13.463299535966428,842.7777914037313,0.3774624245436704,0.0,0.7536605647604249,0.29394157850932623,32.0,3.0,8.0,600.0,403.77364356911806,278.4027137797437,125.37092978937436,0.10666666666666667
57,24.712711370497345,26.19375431699143,13.379389849416782,842.8150381830734,0.3800935214210787,0.0,0.7589247786468457,0.2988482549812173,32.0,3.0,8.0,600.0,409.3826292847499,280.9579088389096,128.42472044584028,0.10500000000000001
58,24.73254534166881,26.281601073228387,13.266309909891845,842.829779564643,0.3800768926134521,0.0,0.7591324123850164,0.29872922919433786,32.0,3.0,8.0,600.0,414.23926584288427,283.1046185109718,131.13464733191242,0.10333333333333333
59,24.7628775624529,26.377129890096967,13.206312401221396,842.7010459078912,0.37841156552292904,0.0,0.7560776941296963,0.29555182747336417,32.0,3.0,8.0,600.0,414.3333500191909,283.09104210841963,131.24230791077127,0.10166666666666668
60,24.78855668863457,26.458448830479085,13.217801901515884,842.5170520156781,0.37820254987069035,0.0,0.7556163785709878,0.29479851675039953,32.0,3.0,8.0,600.0,411.3963162055579,281.7319828053667,129.66433340019123,0.1
61,24.7880812017151,26.507988497781014,13.23299573028254,842.3261279649406,0.3807528396471386,0.0,0.76041993996035,0.2993174044297142,32.0,3.0,8.0,600.0,410.98862454497225,281.561487741917,129.42713680305528,0.09833333333333334
62,24.776406538973106,26.549038250476315,13.178186565707506,842.298316622881,0.3836468362666214,0.0,0.7661374789969436,0.30477477172197237,32.0,3.0,8.0,600.0,415.5542257350148,283.6430035007035,131.91122223431128,0.09666666666666666
63,24.7896122117956,26.619799609202175,13.073273883624438,842.388750524829,0.38414417853119576,0.0,0.7673282340873243,0.3055791342985686,32.0,3.0,8.0,600.0,420.91744630016086,286.0083045056966,134.9091417944643,0.095
64,24.816291871481553,26.703602663271568,13.004712170381595,842.2963344343513,0.38237891500929827,0.0,0.7641010990838036,0.30233364489396014,32.0,3.0,8.0,600.0,421.9542979948476,286.4151378602641,135.53916013458345,0.09333333333333334
65,24.843275663455927,26.778627970802404,13.01389003331758,842.1350657075341,0.38128889387567305,0.0,0.7619987613445403,0.30010168057486314,32.0,3.0,8.0,600.0,418.8078297485327,284.9715895025082,133.8362402460245,0.09166666666666667
66,24.850207960957903,26.825670199003923,13.049566879500617,841.9567046298199,0.38327360250389686,0.0,0.7656316705887193,0.30331197549563177,32.0,3.0,8.0,600.0,416.81543728360055,284.08086617862307,132.7345711049775,0.09
67,24.830008872853455,26.847721412291605,13.021780082274631,841.8574865528833,0.38641236709361304,0.0,0.7717714385800674,0.3092884343812654,32.0,3.0,8.0,600.0,420.3451758076659,285.70306103697465,134.64211477069128,0.08833333333333333
68,24.836978282453913,26.90231365062556,12.924272586100301,842.017238958795,0.38748593965950034,0.0,0.7740669696091176,0.3110989455509013,32.0,3.0,8.0,600.0,426.17918346117494,288.27184982254823,137.90733363862674,0.08666666666666667
69,24.859760103485712,26.97497914061637,12.844988767454709,841.9598582436331,0.38580943481794505,0.0,0.7710271834722033,0.3081039822913828,32.0,3.0,8.0,600.0,428.29296594683336,289.1514077255455,139.14155822128788,0.08500000000000002
70,24.88718031665445,27.04439562861711,12.845910286148069,841.8222653118976,0.38401821530441,0.0,0.7676229728103677,0.304742430032774,32.0,3.0,8.0,600.0,425.28683537222884,287.7780884861115,137.5087468861173,0.08333333333333333
71,24.900549728454507,27.090084728195222,12.894314526566632,841.655969478367,0.3853166494878051,0.0,0.7698895639307927,0.30654836491638654,32.0,3.0,8.0,600.0,422.0074945026446,286.31208838157517,135.69540612106942,0.08166666666666667
72,24.87663132601972,27.099341459770926,12.891755646126228,841.5037224789407,0.38849957585219785,0.0,0.7760617589685901,0.31259535431714436,32.0,3.0,8.0,600.0,424.2756208172672,287.37464215664613,136.9009786606211,0.08000000000000002
