time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
15,22.1582718146679,28.572051875338843,5.0003294954941,807.7545601611088,0.5982714947590704,0.0,0.8496781668456256,0.31739823124140115,32.0,3.0,5.0,800.0,615.6493255258417,427.3768109557118,188.2725145701299
16,22.145800653376057,28.441500672912014,5.000142789717756,807.8952629714684,0.5993612546611128,0.0,0.8434217623466226,0.3125790551291256,32.0,3.0,5.0,800.0,612.3248368811285,428.29652966367763,184.02830721745084
17,22.13377046165448,28.315672672130574,5.000060838286458,808.033717023547,0.6004322749959731,0.0,0.8373834138717805,0.3078638016507833,32.0,3.0,5.0,800.0,609.1949234068949,429.20190383331504,179.99301957357986
18,22.122170468723425,28.194396583711523,5.000024957751691,808.1698631439084,0.6014840168428756,0.0,0.8315556609413761,0.3032521288193713,32.0,3.0,5.0,800.0,606.246957945956,430.092224203813,176.15473374214298
19,22.11098741024699,28.07750753911199,5.000009286612965,808.3036563849944,0.6025161065711745,0.0,0.8259313683158068,0.29874363400386056,32.0,3.0,5.0,800.0,603.4694502954032,430.96701602521256,172.50243427019075
20,22.1002072338498,27.964846733957415,5.0000024582227525,808.4350550072608,0.6035282456528777,0.0,0.8205037005548166,0.2943379341995064,32.0,3.0,5.0,800.0,600.8517947004013,431.82594157472346,169.0258531256779
21,22.08981581285127,27.856261153953085,5.0,808.5640541784138,0.6045189091552378,0.0,0.8152664509181283,0.29003978432677324,32.0,3.0,5.0,800.0,598.3841321668467,432.66872545963946,165.7154067072073
22,22.079798587579944,27.751603340309032,5.0,808.6927267793644,0.6054983789231404,0.0,0.8101997382700165,0.28580651486652325,32.0,3.0,5.0,800.0,596.0564198192931,433.49407021300027,162.5623496062928
23,22.07016358609127,27.650731150199874,5.0,808.8088382654503,0.6069444526361495,0.0,0.8052397006332478,0.279717304149787,32.0,3.0,5.0,800.0,593.8607930036203,434.31052046643816,159.55027253718208
24,22.06100975074594,27.553508447635522,5.0,808.1298880569308,0.6038124593920708,0.0,0.8006433722764856,0.2920358380554401,32.0,3.0,5.0,800.0,592.1545772770727,435.5166993432095,156.63787793386322
25,22.051980306766893,27.45980849975996,5.0,814.7933175332921,0.45220009975153164,0.0,0.5995776886634875,0.900000009647047,32.0,0.0,5.0,800.0,586.8763462084363,432.9054656692096,153.97088053922667
26,22.042606203251182,27.369495372040262,5.0,783.2320822231052,0.45198870168049293,0.0,0.5946334300092555,0.9000000097905202,32.0,0.0,5.0,800.0,376.2049371040311,311.54166969234944,64.66326741168164
27,22.034443264361926,27.282419805288725,5.0,754.4334236975413,0.4518046169628563,0.0,0.5903856714618719,0.9000000098283626,32.0,0.0,5.0,800.0,374.45580449389746,311.37906749851027,63.076736995387186
28,22.02642351921662,27.198500743651664,5.0,728.1074635096793,0.45162376145988453,0.0,0.5862087445629559,0.9000000098612974,32.0,0.0,5.0,800.0,372.97209450242394,311.23748849066936,61.7346060117546
29,22.018700376080233,27.117617654674234,5.0,704.0254249264145,0.4514495947248728,0.0,0.5821826023899622,0.9000000098936302,32.0,0.0,5.0,800.0,371.5319597662662,311.0984061393088,60.4335536269574
