time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
25,22.515370899245852,25.159829855320936,12.020935798245091,938.2219013873226,0.34000727109585527,0.0,1.0000000099708972,0.5689819055835863,32.0,3.0,8.0,600.0,246.26306229371775,0.15833333333333333
26,22.51117129526409,25.18603378852174,11.831149940017895,940.4045461595701,0.3400074635913677,0.0,1.0000000099728765,0.568981416952049,32.0,3.0,8.0,600.0,250.70504851294618,0.15666666666666668
27,22.524478753085077,25.23306640399187,11.74170012291222,941.3325060296902,0.3356634334163547,0.0,1.0000000099734068,0.5671076439242625,32.0,3.0,8.0,600.0,250.70520253497165,0.155
28,22.547480242580377,25.280000302967323,11.813149685529766,940.4246969176086,0.3303839359750996,0.0,1.0000000099727273,0.5648360196510387,32.0,3.0,8.0,600.0,247.23317711123624,0.15333333333333335
29,22.56594952837696,25.305995899227355,11.986246804959421,938.4645868075174,0.3350858746280423,0.0,1.0000000099712132,0.5668541355749008,32.0,3.0,8.0,600.0,243.02361134836403,0.15166666666666667
30,22.544289764412554,25.297458080955494,11.952563732424153,939.0368646387922,0.3412078687861101,0.0,1.0000000099706856,0.5694879036624739,32.0,3.0,8.0,600.0,246.7721235917085,0.15000000000000002
31,22.53378632767607,25.311792680664666,11.776634257181684,941.101333075988,0.34247171277287825,0.0,1.0000000099723234,0.5700317427884237,32.0,3.0,8.0,600.0,251.66597528708775,0.14833333333333334
32,22.542586774423057,25.351192772458944,11.660090830658476,942.3586237249058,0.3389578272854002,0.0,1.0000000099731907,0.5685187966015649,32.0,3.0,8.0,600.0,252.67814738339575,0.14666666666666667
33,22.563394912818637,25.39585837345112,11.696727422970412,941.8413869644089,0.3336131140506141,0.0,1.00000000997281,0.5662229532860311,32.0,3.0,8.0,600.0,249.86557446794268,0.14500000000000002
34,22.58323717870894,25.424222685088637,11.854516862735295,940.0242993770186,0.33543779175517136,0.0,1.0000000099714912,0.567004313848698,32.0,3.0,8.0,600.0,245.59705122794819,0.14333333333333334
