time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
19,22.28903770390616,24.953266063360616,5.0,958.772715643812,1.0,0.0,0.5456932034149851,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.16833333333333333
20,22.279748732959774,24.952401703700048,5.0,962.7696429023035,1.0,0.0,0.5369984645337469,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.16666666666666669
21,22.320552049933895,24.984248627069064,5.0,968.4586663462588,1.0,0.0,0.5615105330075859,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.165
22,22.33416520521456,25.034043212855295,5.0,963.1484542977805,1.0,0.0,0.5751501516908311,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.16333333333333333
23,22.323125531572657,25.078376601485047,5.0,954.8871770444413,1.0,0.0,0.5742554211844108,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.16166666666666668
24,22.294967010651305,25.0962799657799,5.0,950.1126029512438,1.0,0.0,0.5591695628539959,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.16
25,22.266729303422835,25.08107127248826,5.0,952.49738131415,1.0,0.0,0.5383965699243278,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.15833333333333333
26,22.312945640783482,25.10047988516942,5.0,961.3675389186665,1.0,0.0,0.564093866761348,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.15666666666666668
27,22.332413731974725,25.143005630594473,5.0,957.7794666735297,1.0,0.0,0.5803106587519143,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.155
28,22.326561169524155,25.185859359661436,5.0,949.7266956278169,1.0,0.0,0.58269661143146,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.15333333333333335
29,22.301364811379074,25.206783830731467,5.0,943.9467286097413,1.0,0.0,0.5703713946347343,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.15166666666666667
30,22.268207297859703,25.191631106519537,5.0,944.7172444021114,1.0,0.0,0.5474340974469898,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.15000000000000002
31,22.301977248714877,25.199155486544043,5.0,953.2185036660171,1.0,0.0,0.5647145226175521,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14833333333333334
32,22.32828704126439,25.233788702944707,5.0,952.4743485002836,1.0,0.0,0.5835268271451857,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14666666666666667
33,22.328318080744054,25.27457847739106,5.0,945.3323037559034,1.0,0.0,0.5892059630338293,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14500000000000002
34,22.306979126135786,25.298390911588,5.0,938.9796864577186,1.0,0.0,0.5799323109568526,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14333333333333334
35,22.27464533061419,25.28857495897131,5.0,938.3309605196602,1.0,0.0,0.5586944793188935,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14166666666666666
36,22.28943149453147,25.28435847086388,5.0,945.2718631180645,1.0,0.0,0.5639738601838271,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.14
37,22.32269795590463,25.31045372083338,5.0,947.7787962589674,1.0,0.0,0.5851466820513328,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.13833333333333334
38,22.3289122860225,25.348434632160775,5.0,941.89345526698,1.0,0.0,0.5940363043147683,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.13666666666666666
39,22.312054690074035,25.37473907500072,5.0,935.2110156584056,1.0,0.0,0.5880184443553426,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.135
40,22.28131700683167,25.370541660056176,5.0,933.2419623636112,1.0,0.0,0.5689130041004946,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.13333333333333336
41,22.276912059207234,25.35475559391051,5.0,938.5819446044678,1.0,0.0,0.562092942129723,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.13166666666666665
42,22.316549866760226,25.371877546839414,5.0,944.2544439524156,1.0,0.0,0.5852218192582646,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.13
43,22.328873808352398,25.40637611443782,5.0,939.7176843230405,1.0,0.0,0.59715855172483,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.12833333333333335
