time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
37,21.80513141757973,24.92188911214504,5.0,805.8060318893564,0.578503475686009,0.0,0.6901111749899751,0.1546055685129914,32.0,3.0,8.0,600.0,551.0740314185442,455.4765979843069,95.59743343423726
38,21.807843689109177,24.954709946286982,5.0,805.6920750521201,0.5800237438395821,0.0,0.6846835260479068,0.14809146876756954,32.0,3.0,8.0,600.0,552.2549853069768,453.6546402596256,98.60034504735114
39,21.81127476366379,24.97592063268536,5.0,805.7327981863908,0.5845496042167064,0.0,0.6686690789257806,0.12861971563740046,32.0,3.0,8.0,600.0,551.3232000844217,455.03104858905704,96.29215149536465
40,21.812449935980624,24.967644758377048,5.0,806.0621035638202,0.5860800448272971,0.0,0.6633524324667925,0.12203246387680239,32.0,3.0,8.0,600.0,548.8275068618817,459.13524486773935,89.69226199414236
41,21.810399347004136,24.949219885464515,5.0,806.2710330180988,0.5807594874380873,0.0,0.6823079503460331,0.14495536399073095,32.0,3.0,8.0,600.0,548.0951156350312,460.525340858305,87.56977477672618
42,21.809612395703084,24.96390275824308,5.0,805.8017392084948,0.57801733773527,0.0,0.6919623231316088,0.15677009400194675,32.0,3.0,8.0,600.0,550.9909109665223,455.6975707619371,95.29334020458516
43,21.811677665169782,24.994442818543064,5.0,805.6565639232107,0.5787146991946439,0.0,0.6894386107571623,0.15379378920554387,32.0,3.0,8.0,600.0,552.6106690908301,453.21473969306743,99.3959293977627
44,21.81495739137506,25.018587539844987,5.0,805.663458082466,0.20586370129651743,0.0,0.4270641185501728,0.5,32.0,3.0,8.0,600.0,552.1581554345438,453.84580945124054,98.3123459833033
45,22.366525772564444,25.016745179489533,8.56359024157996,995.8614415604661,0.2744626368380505,0.0,0.5821572531662207,0.5,32.0,3.0,8.0,600.0,170.22754909845162,146.8606810144218,23.366868084029818
46,22.717537512080924,25.00969568841856,10.845417991154534,1072.366831545012,0.29836365851563057,0.0,0.6185576842847942,0.5,32.0,3.0,8.0,600.0,258.2966821080608,199.1075198747479,59.18916223331287
47,23.070679729763356,25.05167302074352,12.08205854839531,1103.349153795218,0.3085918690302371,0.0,0.6312947200121752,0.5,32.0,3.0,8.0,600.0,288.72908419581296,217.72850784753015,71.00057634828282
48,23.411965291623687,25.127120329688807,12.78186569226034,1115.752678651412,0.31991103133307924,0.0,0.6497680751492596,0.5,32.0,3.0,8.0,600.0,301.2422903681552,225.7647523194554,75.47753804869976
49,23.697135857427725,25.213199485088523,13.107318977192449,1114.3674261265658,0.33546289235700183,0.0,0.6797237737845052,0.062145973387689284,32.0,3.0,8.0,600.0,317.00524031967154,234.70589828126333,82.29934203840824
50,23.979249021431997,25.28621613652564,14.564720828788495,824.1720766412857,0.30945607611086234,0.0,0.6147614394929405,0.1737980640151862,32.0,3.0,8.0,600.0,341.2877665235442,247.073074135543,94.21469238800114
51,24.289435769259967,25.332891054116885,15.452371505086717,850.4575358089977,0.34866567750170085,0.0,0.6948274548880521,0.23419865667722004,32.0,3.0,8.0,600.0,296.1469638829676,226.4456264797425,69.7013374032251
52,24.48873185579083,25.417460606253826,15.201301966552535,845.0623784837327,0.37128615173118173,0.0,0.7404943406872878,0.2829978682977379,32.0,3.0,8.0,600.0,358.28370115985655,257.6479792815557,100.63572187830083
53,24.591852022793603,25.531769218576187,14.499008190837742,844.1544747262787,0.3768479475962781,0.0,0.752467943580288,0.2937733323749227,32.0,3.0,8.0,600.0,397.7408886773294,275.9298950245372,121.8109936527922
54,24.64071811735579,25.650883306824653,13.971422701993788,843.6195794444859,0.374080371801986,0.0,0.7473284593315125,0.2887040185366844,32.0,3.0,8.0,600.0,408.2729810950807,280.456968894852,127.81601220022864
55,24.663335648159773,25.75070847516463,13.747118676911043,843.3739891932845,0.3724867296885127,0.0,0.7439568091340145,0.2852263114211775,32.0,3.0,8.0,600.0,403.4175301877257,278.2026858088452,125.21484437888043
56,24.654906689809707,25.814990912802216,13.660035221751855,843.195761022493,0.37427819160438097,0.0,0.7472299091801172,0.28858221268129486,32.0,3.0,8.0,600.0,400.4337597919976,276.9060402721906,123.52771951980704
57,24.654687639012366,25.886902778963133,13.562654298739744,843.2387537140679,0.3765873123959247,0.0,0.7518120781737923,0.292877228949794,32.0,3.0,8.0,600.0,403.5290267622721,278.36371206951833,125.16531469275378
58,24.6778945221904,25.98470264746186,13.449421315001075,843.2338974443005,0.3767215107710219,0.0,0.7523107940996691,0.2929880028772346,32.0,3.0,8.0,600.0,407.7266211045034,280.2445382955314,127.482082808972
59,24.711335531946474,26.089921368581997,13.385533256599444,843.080504691341,0.37528358261871386,0.0,0.7497145672570839,0.29016272451526626,32.0,3.0,8.0,600.0,408.0898606827328,280.35391312371763,127.73594755901519
60,24.73931568275748,26.1806669686045,13.389346868292932,842.8764861702125,0.37524247950487377,0.0,0.74959629377985,0.289703222166015,32.0,3.0,8.0,600.0,405.60040858475327,279.1823539243317,126.41805466042152
61,24.7406110775795,26.239348270146365,13.396337027388995,842.6703610903297,0.37789861286900983,0.0,0.7546153808083783,0.2944723895646623,32.0,3.0,8.0,600.0,405.507111186314,279.1488774693728,126.35823371694116
62,24.730614249624352,26.289244826981644,13.334572948996481,842.6296412968184,0.38087726688150864,0.0,0.7605011019156243,0.3001432807455414,32.0,3.0,8.0,600.0,410.22704173626556,281.31359703282715,128.91344470343842
63,24.74555429995513,26.368566231073373,13.223782358240157,842.7080897936678,0.38146535850485747,0.0,0.7618731690410957,0.3011090393861882,32.0,3.0,8.0,600.0,415.6980928461617,283.74462823405435,131.95346461210738
64,24.773891389868993,26.46065630379428,13.14961850604277,842.6043560813295,0.3797931263352967,0.0,0.7588344425336686,0.29797962393450267,32.0,3.0,8.0,600.0,416.89398310743275,284.2250329479746,132.6689501594581
65,24.802331390231814,26.543703446439736,13.153320595119112,842.4328540980637,0.3787940498753182,0.0,0.7569179212651251,0.2958776695837948,32.0,3.0,8.0,600.0,413.9472072945466,282.8593819323179,131.0878253622287
66,24.81056722255647,26.598504884686804,13.183806183343393,842.2448524539129,0.38085961242597993,0.0,0.7607163706266921,0.2992654986215548,32.0,3.0,8.0,600.0,412.14112464705534,282.04402378060564,130.09710086644967
67,24.79170346721054,26.628057081011093,13.151365556278733,842.135614706121,0.3840735721156545,0.0,0.7670059364159891,0.30543161719579953,32.0,3.0,8.0,600.0,415.79575797640007,283.73020873970853,132.06554923669157
68,24.800108496905978,26.689903676370534,13.049587600083669,842.2853295552825,0.38522933138212256,0.0,0.7694659094283269,0.307397220177464,32.0,3.0,8.0,600.0,421.7258165431348,286.3573745234046,135.3684420197302
69,24.824290335524495,26.76959077390967,12.96587907902068,842.2182548374252,0.383633569399335,0.0,0.7665897527625258,0.3045046897022275,32.0,3.0,8.0,600.0,423.9782663639034,287.30316479941115,136.67510156449225
70,24.85294406171596,26.84580400586026,12.962302321469565,842.0719794243744,0.3819198206892736,0.0,0.763343912856447,0.3012402616530257,32.0,3.0,8.0,600.0,421.1456589296505,285.997453414322,135.14820551532847
71,24.867390211445695,26.898067320151085,13.006368224276002,841.8977682762978,0.3832873235903361,0.0,0.7657529739993482,0.3031828674616869,32.0,3.0,8.0,600.0,418.03513458559604,284.59637538987516,133.43875919572088
72,24.844548015399766,26.91367836736822,12.999901400299507,841.7373119556712,0.38653227185084926,0.0,0.7720493823689064,0.30938644169669777,32.0,3.0,8.0,600.0,420.4204028689875,285.7142815942844,134.70612127470312
73,24.846203710499367,26.959031378839654,12.911115213366202,841.9170754626558,0.3883018923350586,0.0,0.775682654139533,0.31245012814587975,32.0,3.0,8.0,600.0,426.426445894414,288.37006180845054,138.05638408596346
