time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
37,21.80513141757973,24.92188911214504,5.0,805.8060318893564,0.578503475686009,0.0,0.6901111749899751,0.1546055685129914,32.0,3.0,8.0,600.0,551.0740314185442,455.4765979843069,95.59743343423726
38,21.807843689109177,24.954709946286982,5.0,805.6920750521201,0.5800237438395821,0.0,0.6846835260479068,0.14809146876756954,32.0,3.0,8.0,600.0,552.2549853069768,453.6546402596256,98.60034504735114
39,21.81127476366379,24.97592063268536,5.0,805.7327981863908,0.5845496042167064,0.0,0.6686690789257806,0.12861971563740046,32.0,3.0,8.0,600.0,551.3232000844217,455.03104858905704,96.29215149536465
40,21.812449935980624,24.967644758377048,5.0,806.0621035638202,0.5860800448272971,0.0,0.6633524324667925,0.12203246387680239,32.0,3.0,8.0,600.0,548.8275068618817,459.13524486773935,89.69226199414236
41,21.810399347004136,24.949219885464515,5.0,806.2710330180988,0.5807594874380873,0.0,0.6823079503460331,0.14495536399073095,32.0,3.0,8.0,600.0,548.0951156350312,460.525340858305,87.56977477672618
42,21.809612395703084,24.96390275824308,5.0,805.8017392084948,0.57801733773527,0.0,0.6919623231316088,0.15677009400194675,32.0,3.0,8.0,600.0,550.9909109665223,455.6975707619371,95.29334020458516
43,21.811677665169782,24.994442818543064,5.0,805.6565639232107,0.5787146991946439,0.0,0.6894386107571623,0.15379378920554387,32.0,3.0,8.0,600.0,552.6106690908301,453.21473969306743,99.3959293977627
44,21.81495739137506,25.018587539844987,5.0,805.663458082466,0.5827131960490762,0.0,0.6752542515374087,0.13659015740368463,32.0,3.0,8.0,600.0,552.1581554345438,453.84580945124054,98.3123459833033
45,21.817054030799625,25.016745179489533,5.0,805.8635121984753,0.5869557267847171,0.0,0.6602384350401946,0.1183083723554897,32.0,3.0,8.0,600.0,549.8370973170152,457.46873651989034,92.3683607971248
46,21.814805242216266,24.98771681874797,5.0,806.368241304962,0.581310082500897,0.0,0.6804825101716973,0.14264233562926254,32.0,3.0,8.0,600.0,547.6635416222784,461.3212317754005,86.34230984687794
47,21.813057190413076,24.994464015065205,5.0,805.8165614550767,0.5778873223712072,0.0,0.6925069896414522,0.15738400700538915,32.0,3.0,8.0,600.0,550.7270788004703,456.1965348502837,94.53054395018663
48,21.814415988319297,25.021894782663594,5.0,805.6422923990043,0.5777693089883219,0.0,0.692918680283534,0.15791419275283305,32.0,3.0,8.0,600.0,552.7279373094412,453.0971096078729,99.63082770156832
49,21.817472470610028,25.04828098781212,5.0,805.6141385553532,0.5811074461751126,0.0,0.6810194686256607,0.14355427317518402,32.0,3.0,8.0,600.0,552.7989681282634,452.990345245223,99.8086228830403
50,21.820143563008457,25.052707843667577,5.0,805.7316819723073,0.5865241281553057,0.0,0.6616943798772714,0.12020753645743201,32.0,3.0,8.0,600.0,550.7673817629061,456.0128833202235,94.75449844268262
51,21.818383274421876,25.02235887463621,5.0,806.3248327811768,0.5820696481220906,0.0,0.677764697867013,0.13941390278956733,32.0,3.0,8.0,600.0,547.84368485263,460.92891337785204,86.91477147477791
52,21.81610834563577,25.020507614158873,5.0,805.8800741149555,0.20708158335597174,0.0,0.4279205891162472,0.5,32.0,3.0,8.0,600.0,550.2875253180167,456.8851141000545,93.40241121796224
53,22.39208534921829,25.043789405758844,8.554910459009534,995.7960550192936,0.2750189405099478,0.0,0.5825577104488433,0.5,32.0,3.0,8.0,600.0,171.28084232734983,147.77310642139122,23.507735905958604
54,22.79944941914016,25.09443201957697,10.83711711365055,1072.1731006876164,0.2983851006372351,0.0,0.6188491031742174,0.5,32.0,3.0,8.0,600.0,258.8498283188746,199.53843602091987,59.31139229795469
55,23.15233871128862,25.14286449147818,12.092324624734033,1103.1086083710297,0.3086891999476735,0.0,0.6316244450143913,0.5,32.0,3.0,8.0,600.0,288.84628656295246,217.745312179696,71.10097438325647
56,23.43952723205689,25.17102081098841,12.80214964648917,1115.4632112730933,0.32223263985892836,0.0,0.6539846763618659,0.5,32.0,3.0,8.0,600.0,301.43728634249203,225.8414208410652,75.59586550142681
57,23.680718151700887,25.220076302911764,13.086744740137476,1112.2483558424149,0.33943435243355097,0.0,0.6868398579835815,0.0725997949117271,32.0,3.0,8.0,600.0,320.4579826231255,236.54600203360246,83.91198058952301
58,23.96718129595172,25.305590450960096,14.458195488001593,824.3214348066817,0.3132494514232685,0.0,0.6222344705259241,0.1837498468136406,32.0,3.0,8.0,600.0,347.4515060195272,250.24670312478034,97.20480289474686
59,24.326567908099662,25.409545130890763,15.302398597435513,850.5155080167592,0.34815456553383206,0.0,0.6942751618543702,0.2330851258087254,32.0,3.0,8.0,600.0,301.7119643893788,229.4377376042511,72.27422678512768
60,24.541775174125007,25.512115075467023,15.129712616192478,844.8782279737916,0.3679661464737213,0.0,0.7342578895753799,0.27624167934347016,32.0,3.0,8.0,600.0,357.6332327540059,257.23729518736036,100.39593756664559
61,24.616978071442077,25.58963683238909,14.551397246897182,843.8235325977689,0.3764805080039247,0.0,0.7515676056624443,0.2926871114209054,32.0,3.0,8.0,600.0,391.99276040020766,273.2335996600502,118.7591607401575
62,24.6221128609302,25.660576526489137,14.013592297732771,843.4211117544295,0.3781458830939127,0.0,0.754963444229123,0.29624024619896316,32.0,3.0,8.0,600.0,407.51525576783314,280.1574955089851,127.35776025884802
63,24.636883568603707,25.760704607052787,13.66496469325017,843.4623203227484,0.37645512506320206,0.0,0.7517355199590564,0.2929795765473945,32.0,3.0,8.0,600.0,410.6071769621155,281.5152674870625,129.091909475053
64,24.666299746766754,25.872762315480486,13.510749564054834,843.3729998024763,0.3736512071091537,0.0,0.7463778589382943,0.28753522540224447,32.0,3.0,8.0,600.0,407.57995143456606,280.13680976713096,127.4431416674351
65,24.698530258364997,25.97502155193439,13.495430927144298,843.1914197930901,0.3725133209149057,0.0,0.7441599780332602,0.28501682956808505,32.0,3.0,8.0,600.0,402.59103178917127,277.8533990218418,124.73763276732943
66,24.7113308265549,26.048418220686983,13.518281896813733,842.972734297625,0.3748222456457778,0.0,0.7484442306485197,0.2889155734576812,32.0,3.0,8.0,600.0,400.5566178859617,276.9276673071231,123.62895057883858
67,24.696887169663,26.096004427731202,13.476201777752692,842.8273136818591,0.3783232338070422,0.0,0.755305813032181,0.29575046045218367,32.0,3.0,8.0,600.0,404.58318206502065,278.80665764655566,125.77652441846496
68,24.709411541069983,26.175340477319935,13.362476659817844,842.9447814221543,0.3797337366246072,0.0,0.7582764664729931,0.2982096078174703,32.0,3.0,8.0,600.0,410.92754302802416,281.6599280052076,129.26761502281659
69,24.737245178778437,26.271982224587646,13.265761796371862,842.8507186506786,0.3783462064035026,0.0,0.7558221158774585,0.29559956737523296,32.0,3.0,8.0,600.0,413.60977042862106,282.8109017648743,130.79886866374676
70,24.76898082910151,26.36461799224128,13.249638851905786,842.6822848561764,0.37681680029618747,0.0,0.7529526150971962,0.2925737512584601,32.0,3.0,8.0,600.0,411.21155298988947,281.6786671237183,129.5328858661712
71,24.786083837325236,26.432770217772315,13.28227412315232,842.4885673245747,0.3783458905256642,0.0,0.7556942885178005,0.29484802062947113,32.0,3.0,8.0,600.0,408.49473455176366,280.43158082985457,128.0631537219091
72,24.765898958721493,26.46374089411978,13.265880501034758,842.3080048207048,0.3817371830691578,0.0,0.7622825346003355,0.3014356550021571,32.0,3.0,8.0,600.0,411.1455852309381,281.6784094555801,129.46717577535802
73,24.770456220059828,26.523945442254046,13.16838144610091,842.4674072242576,0.38367238177022744,0.0,0.7662460864900484,0.3048427991108081,32.0,3.0,8.0,600.0,417.3300513356187,284.4471313658892,132.88291996972944
