time_min,soc_coupled_PID,soc_coupled_MPC
0,0.2,0.2
1,0.19859225844334696,0.19859245636001363
2,0.19705840836817884,0.1969826792491586
3,0.1953577233519247,0.19537652133884373
4,0.193773787193442,0.19377236451228566
5,0.19220209790418186,0.19220420888101444
6,0.19060764290966098,0.1906427884415113
7,0.1889925250047618,0.18908230671831175
8,0.18735969034726024,0.18752262916552392
9,0.1857130741606033,0.18596360791371683
10,0.1840558480673341,0.18440435816725032
11,0.18238562687933554,0.18284465142717682
12,0.18071351446506623,0.1812847582725391
13,0.17904066034010632,0.1797251119753947
14,0.17736849186514675,0.17816597964200204
15,0.17569809988748755,0.17660675849842378
16,0.1740273756313579,0.1750469357406062
17,0.1723545249126396,0.17348680206627015
18,0.17068062422583122,0.1719268323139257
19,0.16900713451799315,0.17036739549350605
20,0.16733531763838466,0.16880817688579025
21,0.1656642895926303,0.167248273139492
22,0.1639909463829438,0.16568794984502794
23,0.16231625516809672,0.16412768421344576
24,0.16064166192933604,0.16256793227185032
25,0.1589685693776956,0.16100874751625854
26,0.15729742317480394,0.15944882272661517
27,0.15562382628769644,0.15788838198468064
28,0.15394860594967844,0.15632787438802348
29,0.1522731453224385,0.1547678250791397
30,0.15059895005011345,0.15320846857252773
31,0.1489269767862596,0.15164858522260233
32,0.14725332444877248,0.15008807469157281
33,0.1455777681695371,0.14852736631001687
34,0.1439016222113806,0.14696702964382763
35,0.14222645394426944,0.14540740171548383
36,0.14055341240302244,0.1438475939318249
37,0.1388798405946115,0.14228705750533335
38,0.1372041121511633,0.14072619303609504
39,0.1355274480989916,0.13916558739608523
40,0.13385143370746969,0.13760567500419277
41,0.1321773885506233,0.1360459660543078
42,0.13050400863294473,0.1344854527168307
43,0.1288282699642935,0.13292448944654134
44,0.1271512666622055,0.13136365187448978
45,0.12547455609471986,0.12990890613753164
46,0.12379959779893748,0.12842969675251525
47,0.12212651171364149,0.1269420339224745
48,0.12045092213176402,0.12545089520183028
49,0.11877376766586979,0.12395537788397734
50,0.11709653222184625,0.12245311541995665
51,0.11542077748016887,0.12096339206778056
52,0.11374745344253594,0.11945640851080534
53,0.11207214908475403,0.11793846462396416
54,0.11039498949696916,0.11641759515589581
55,0.10871737130331242,0.11489807442419064
56,0.10704091669980519,0.11337938251759536
57,0.10536677207123901,0.11185983081461948
58,0.10369183794614678,0.11033911311321518
59,0.10201477609833877,0.10881829451192805
60,0.10033688643035787,0.10729816742511258
61,0.09865980859835137,0.10577806625424112
62,0.09698486367158539,0.10425665399155021
63,0.09531035531600945,0.10273372199243992
64,0.09363350061292416,0.10121045780159037
65,0.09195546927536087,0.09968801215957775
66,0.09027787371632345,0.0981660682071894
67,0.0886021796039268,0.09664310907887624
68,0.08692815312478619,0.09511850271207234
69,0.08525162132577192,0.09359327066476267
70,0.08357359513273857,0.09206882545285139
71,0.08189561493972701,0.09054524427548012
72,0.08021925396114536,0.0890210005235857
73,0.07854542948885497,0.08749508842640645
74,0.07686932904286277,0.08596822954266156
75,0.07519144106436944,0.08444190152454853
76,0.07351320735880415,0.08291654856516174
77,0.07183626699874202,0.08139097217872693
78,0.07016173791433986,0.07986394967685641
79,0.06848613631033978,0.07833578327926954
80,0.0668084580462695,0.07680786880366748
81,0.06513005178065542,0.07528099032762504
82,0.06345257987855263,0.07375431751773048
83,0.06177734039320007,0.07222644426064145
84,0.060102265469261396,0.07069724372492459
85,0.05842487948597158,0.06916799802927379
86,0.05674640399718309,0.0676398206064969
87,0.05506848060748787,0.06611227416623033
88,0.05339255856737518,0.06458379686697219
89,0.051718044340698405,0.06305382841299745
90,0.05004104495655823,0.06152350382875779
91,0.04836262548267303,0.059994246272788404
92,0.04668436220612093,0.058466035646382
93,0.045007819675710936,0.056937206876587376
94,0.04333387142611439,0.055406763955454214
95,0.04165735830407152,0.0538755674386244
96,0.03997913309017334,0.052345149525759554
97,0.03830066549789543,0.05081587290398437
98,0.03662359387709996,0.04928640932448913
99,0.034948996376486574,0.047755539905629585
100,0.03327303638120782,0.04622368622616174
101,0.031595060768036476,0.04469230152586676
102,0.02991645274903379,0.04316209778216401
103,0.02823888236060093,0.04163212512370962
104,0.026563613509062,0.040100978845048624
105,0.024888220672392936,0.03856863645495401
106,0.02321056297737112,0.037036440125392034
107,0.02153190247320766,0.03550543962147196
108,0.01985389736094967,0.03397508603669169
109,0.018177969867077898,0.03244381594250084
110,0.016503167444626987,0.030911161193353992
111,0.01482591097296404,0.029378321624304038
112,0.013147310897688086,0.02784666861709878
113,0.011468969082262692,0.02631607648011411
114,0.009792431549333819,0.024784862722638384
115,0.008118248685193646,0.023252110436410317
116,0.00644148600874736,0.021718770951853095
117,0.0047630776755050175,0.02018637385631253
118,0.0030845259860288743,0.01865518978941083
119,0.0014074603066530633,0.017123783930595438
