time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,25.0,27.0,25.0,600.0,0.0,0.0,0.1,0.5,33.0,2.0,5.0,600.0,0.0,0.0,0.0
1,25.835191659835118,27.075903289707185,25.293738642412222,788.0,0.6083760947723645,0.0,0.9999999968320118,0.6226004618661309,33.0,2.0,5.0,600.0,0.30000000000000004,0.0,0.30000000000000004
2,25.436725351364544,27.17941112079137,14.148573471966017,802.8226272089547,0.5948851072336503,0.0,1.000000009994216,0.6072237134572225,33.0,2.0,5.0,600.0,736.7117604368275,436.7117632880169,299.9999971488106
3,24.640657082275993,27.23958964759811,9.24112884118739,802.337760649377,0.5781693595311928,0.0,1.0000000099943684,0.6077824190593314,33.0,2.0,5.0,600.0,725.4864823825353,425.48648238253537,300.0
4,23.774194944013573,27.230358059141054,6.96600799490102,802.391638537149,0.44297204020329195,0.0,1.000000009991957,0.6060059158995492,33.0,2.0,15.0,600.0,711.6898951910405,411.6898951910405,300.0
5,23.03701182061792,27.222370071982994,5.911357472610348,801.5115806796629,0.3904562156772751,0.0,1.0000000099846011,0.6066752670450214,33.0,2.0,25.0,600.0,687.1661478024411,387.16614780244106,300.0
6,22.44181328061967,27.208255616756787,5.422465662854961,801.4343265595827,0.3840051859035007,0.0,1.000000009785938,0.6051946595179571,33.0,2.0,25.0,600.0,673.6509941085566,373.6509941085566,300.0
7,21.96017218284743,27.173398647560475,5.19583590401902,800.6445810010564,0.4047194810903736,0.0,0.7482586920933687,0.4785612180901912,33.0,2.0,25.0,600.0,666.8773601400073,366.87736014000734,300.0
8,21.96324671970757,27.10175705602876,5.081458715005795,802.6225606769171,0.40813182658124236,0.0,0.723485033796588,0.45764092393757927,33.0,2.0,25.0,600.0,514.3895137392938,388.70650574757224,125.68300799172154
9,21.961168840357686,26.99938369070236,5.033858115492137,802.4402147993037,0.40642518011785517,0.0,0.7325904964096064,0.464341310113606,33.0,2.0,25.0,600.0,505.93286832486086,392.32460800007755,113.60826032478333
10,21.953381243225692,26.92043611675564,5.014148821829508,802.3380784679656,0.4044953977625584,0.0,0.7446631636257526,0.47308255544697075,33.0,2.0,25.0,600.0,508.4662107002828,390.5142685908074,117.95194210947543
11,21.946958034255772,26.871273501869553,5.005942524187844,802.311024906929,0.4041913758465549,0.0,0.7458620246261511,0.47406449281547314,33.0,2.0,25.0,600.0,512.3490368254432,388.46913061057614,123.87990621486706
